award_id,agency,detailed_status,grantee_organization,grantee_state,grantee_city,grantee_org_type,usasp_award_id,usasp_recipient_name,uei,parent_uei,parent_name,business_categories,usasp_address,usasp_city,usasp_state,usasp_country,usasp_zip5,usasp_county,usasp_congressional,usasp_pop_end,ein,bmf_name,bmf_city,bmf_zip5,ntee,bmf_revenue,match_tier,match_name_score,match_geo_score,match_method
NH25PS005164,cdc,Reinstated (confirmed),COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,CO,DENVER,Health Department,ASST_NON_NH25PS005164_075,COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,Y3WEW9MQ6NH5,UVYMYSLJJUP4,THE STATE HISTORICAL SOCIETY OF COLORADO,Government|U.S. Regional/State Government,4300 CHERRY CREEK DR S,DENVER,CO,USA,80246,ARAPAHOE,01,2027-02-28,,,,,,,GOV,0,0,government-entity
NH25PS005210,cdc,Reinstated (confirmed),"ASIAN AND PACIFIC ISLANDER WELLNESS CENTER, INC.",CA,SAN FRANCISCO,Other Health Organization,ASST_NON_NH25PS005210_075,"ASIAN AND PACIFIC ISLANDER WELLNESS CENTER, INC.",GED7GB575K89,GED7GB575K89,"ASIAN AND PACIFIC ISLANDER WELLNESS CENTER, INC.",Nonprofit Organization,730 POLK ST,SAN FRANCISCO,CA,USA,94109,SAN FRANCISCO,11,2026-09-29,943096109,ASIAN AND PACIFIC ISLANDER WELLNESS CENTER INC,SAN FRANCISCO,94109,G81Z,22136062,YES,1.0,1.5,exact-name+geo
NH25PS005212,cdc,Reinstated (confirmed),ALTAMED HEALTH SERVICES CORPORATION,CA,COMMERCE,Other Health Organization,ASST_NON_NH25PS005212_075,ALTAMED HEALTH SERVICES CORPORATION,D3DTJBVZRVB8,N9XJGB4DUKA7,ALTAMED HEALTH SERVICES CORPORATION,Nonprofit Organization,2040 CAMFIELD AVE,LOS ANGELES,CA,USA,90040,LOS ANGELES,42,2026-09-29,952810095,ALTAMED HEALTH SERVICES CORP,COMMERCE,90040,E320,1720050956,YES,1.0,1.0,exact-name+geo
NH25PS005219,cdc,Reinstated (confirmed),CITY OF LONG BEACH,CA,LONG BEACH,Health Department,ASST_NON_NH25PS005219_075,CITY OF LONG BEACH,P43FW2K6F7Z9,J3FACB8K56B7,"LONG BEACH, CITY OF",Government|U.S. Local Government,2525 GRAND AVE,LONG BEACH,CA,USA,90815,LOS ANGELES,42,2028-09-29,,,,,,,GOV,0,0,government-entity
NH25PS005243,cdc,Reinstated (confirmed),CITY & COUNTY OF SAN FRANCISCO,CA,SAN FRANCISCO,Health Department,ASST_NON_NH25PS005243_075,CITY & COUNTY OF SAN FRANCISCO,DCTNHRGU1K75,LNADLQGAWKL6,CITY AND COUNTY OF SAN FRANCISCO,Government|U.S. Local Government,101 GROVE ST,SAN FRANCISCO,CA,USA,94102,SAN FRANCISCO,11,2029-07-31,,,,,,,GOV,0,0,government-entity
NH25PS005247,cdc,Reinstated (confirmed),CHICAGO DEPARTMENT OF PUBLIC HEALTH,IL,CHICAGO,Planning & Administrative Organizations,ASST_NON_NH25PS005247_075,CHICAGO DEPARTMENT OF PUBLIC HEALTH,K8F7VYLKGN64,,CITY OF CHICAGO,Government|U.S. Local Government,111 WEST WASHINGTON STREET,CHICAGO,IL,USA,60602,COOK,07,2029-07-31,,,,,,,GOV,0,0,government-entity
NH25PS005254,cdc,Reinstated (confirmed),COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,CO,DENVER,Health Department,ASST_NON_NH25PS005254_075,COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,Y3WEW9MQ6NH5,,,Government|U.S. Regional/State Government,4300 CHERRY CREEK DR S,DENVER,CO,USA,80246,ARAPAHOE,01,2029-09-29,,,,,,,GOV,0,0,government-entity
NH25PS005255,cdc,Reinstated (confirmed),CHICAGO DEPARTMENT OF PUBLIC HEALTH,IL,CHICAGO,Planning & Administrative Organizations,ASST_NON_NH25PS005255_075,CHICAGO DEPARTMENT OF PUBLIC HEALTH,K8F7VYLKGN64,,CITY OF CHICAGO,Government|U.S. Local Government,111 WEST WASHINGTON STREET,CHICAGO,IL,USA,60602,COOK,07,2029-09-29,,,,,,,GOV,0,0,government-entity
NH78TU000006,cdc,Reinstated (confirmed),"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",CA,SAN FRANCISCO,"Junior College, College & University",ASST_NON_NH78TU000006_075,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",KMH5K9V7S518,KMH5K9V7S518,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",Higher Education|Higher Education (Public),1855 FOLSOM ST STE 425,SAN FRANCISCO,CA,USA,94103,SAN FRANCISCO,11,2029-09-29,946036493,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SAN FRANCISCO,94143,B43,,YES,1.0,0.5,exact-name+geo-modulo-governance
NU17CE010045,cdc,Reinstated (confirmed),DEPARTMENT OF PUBLIC HEALTH ILLINOIS,IL,SPRINGFIELD,Health Department,ASST_NON_NU17CE010045_075,DEPARTMENT OF PUBLIC HEALTH ILLINOIS,NN66PR7QMLR8,GQ46SB5L2HK4,STATE OF ILLINOIS,Government|U.S. Regional/State Government,525 W JEFFERSON ST,SPRINGFIELD,IL,USA,62702,SANGAMON,13,2027-07-31,,,,,,,GOV,0,0,government-entity
NU17CE010056,cdc,Reinstated (confirmed),MINNESOTA DEPARTMENT OF HEALTH,MN,SAINT PAUL,Health Department,ASST_NON_NU17CE010056_075,MINNESOTA DEPARTMENT OF HEALTH,DHQVY2WCVHC5,,,Government|U.S. Regional/State Government,625 ROBERT ST N,SAINT PAUL,MN,USA,55155,RAMSEY,04,2027-07-31,,,,,,,GOV,0,0,government-entity
NU38PS004654,cdc,Reinstated (confirmed),THE LELAND STANFORD JUNIOR UNIVERSITY,CA,STANFORD,"Junior College, College & University",ASST_NON_NU38PS004654_075,THE LELAND STANFORD JUNIOR UNIVERSITY,HJD6G4D6TJY5,EHZJU5ZHP968,LELAND STANFORD JUNIOR UNIVERSITY,Higher Education|Higher Education (Private),450 JANE STANFORD WAY,STANFORD,CA,USA,94305,SANTA CLARA,16,2029-09-29,941156365,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,STANFORD,94305,B430,10152608690,YES,1.0,1.5,exact-name+geo-modulo-governance
NU38PW000023,cdc,Reinstated (confirmed),AMERICAN MEDICAL ASSOCIATION,IL,CHICAGO,Other Health Organization,ASST_NON_NU38PW000023_075,AMERICAN MEDICAL ASSOCIATION,HA5PL9ZYD188,HA5PL9ZYD188,AMERICAN MEDICAL ASSOCIATION,Nonprofit Organization,330 N WABASH AVE,CHICAGO,IL,USA,60611,COOK,05,2029-07-31,360727175,AMERICAN MEDICAL ASSOCIATION,CHICAGO,60611,,546239123,YES,1.0,1.5,exact-name+geo
NU38PW000026,cdc,Reinstated (confirmed),HEALTH RESEARCH AND EDUCATIONAL TRUST,IL,CHICAGO,"Research Institution, Foundation and Laboratory",ASST_NON_NU38PW000026_075,HEALTH RESEARCH AND EDUCATIONAL TRUST,D3CDLMN37MH5,,,Nonprofit Organization,155 N WACKER DR STE 400,CHICAGO,IL,USA,60606,COOK,07,2029-07-31,362203931,HEALTH RESEARCH AND EDUCATIONAL TRUST,CHICAGO,60606,E22E,6636124,YES,1.0,1.5,exact-name+geo
