opdiv,fain,obligation_doc,recipient,state,country,action_date,obligated,expended,paid,unliquidated,title,termination_type,for_cause,source_page
ACF,2301CAPREP,2301CAPREP,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",CALIFORNIA,UNITED STATES,08/21/2025,"$5,828,427.00","$4,287,562.14","$4,287,562.14","$1,540,864.86",PREP-2023,Termination for Cause,X,1
ACF,2401CAPREP,2401CAPREP,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",CALIFORNIA,UNITED STATES,08/21/2025,"$6,217,050.00",-,-,"$6,217,050.00",PREP-2024,Termination for Cause,X,1
ACF,2501CAPREP,2501CAPREP,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",CALIFORNIA,UNITED STATES,08/21/2025,"$6,148,951.00",-,-,"$6,148,951.00",PREP-2025,Termination for Cause,X,1
ACF,90CA1896,90CA189601,AMERICAN BAR ASSOCIATION,DISTRICT OF COLUMBIA,UNITED STATES,02/20/2025,"$500,000.00","$99,362.99","$99,362.99","$400,637.01",MICHIGAN STOP OVERREPORTING OUR PEOPLE (MI STOP),Termination for Cause,X,1
ACF,90CT7016,90CT701603,"NORTH AMERICAN COUNCIL ON ADOPTABLE CHILDREN, INC",Minnesota,UNITED STATES,12/08/2025,"$5,000,000.00","$1,278,853.01","$1,278,853.01","$3,721,146.99",Child Welfare Workforce Institute,Departmental Authority,-,1
ACF,90PH0032,90PH003203,"CHILD TRENDS, INC",District of Columbia,UNITED STATES,12/08/2025,"$1,500,000.00","$300,128.26","$300,128.26","$1,199,871.74",Center for Research on Hispanic Children and Families,Departmental Authority,-,1
ACF,90YE0293,90YE029304,URBAN INSTITUTE (THE),District of Columbia,UNITED STATES,12/08/2025,"$7,285,060.00","$4,674,268.79","$4,674,268.79","$2,610,791.21",Center to Support Research and Evaluation Capacity of CCDF Lead Agencies,Departmental Authority,-,1
ACF,90YE0318,90YE031801,NORTHWESTERN UNIVERSITY,ILLINOIS,UNITED STATES,07/08/2025,"$25,000.00",-,-,"$25,000.00",A QUALITATIVE EVALUATION OF EQUITABLE ACCESS AND PARTICIPATION IN UNIVERSAL PRE-KINDERGARTEN,Termination for Cause,X,1
ACF,90YE0329,90YE032901,UNIVERSITY OF TENNESSEE,TENNESSEE,UNITED STATES,07/08/2025,"$99,999.00","$5,716.46","$5,716.46","$94,282.54",EXAMINING THE EVOLUTION OF MENTAL HEALTH AMONG RACIAL MINORITY EARLY CARE AND EDUCATION WORKFORCE FROM 2019 TO THE COVID-19 PANDEMIC: A LATENT GROWTH MODELING APPROACH,Termination for Cause,X,1
ACF,90YE0331,90YE033101,CINCINNATI UNIV OF,OHIO,UNITED STATES,07/08/2025,"$99,996.62","$34,191.68","$34,191.68","$65,804.94",SPECIFYING INEQUITIES OF DEPRESSION IN EARLY CHILDHOOD EDUCATORS (SIDE),Termination for Cause,X,1
ACF,90YE0351,90YE035101,TRUSTEES OF BOSTON UNIVERSITY,MASSACHUSETTS,UNITED STATES,07/08/2025,"$149,998.00","$59,282.10","$59,282.10","$90,715.90",BUILDING DATA AND RESEARCH CAPACITY TO SUPPORT THE ECE WORKFORCE IN MASSACHUSETTS,Termination for Cause,X,1
ACF,90YR0170,90YR017002,LEHIGH UNIVERSITY,PENNSYLVANIA,UNITED STATES,07/08/2025,"$24,998.00","$14,974.10","$14,974.10","$10,023.90","INTERAGENCY TRAINING TO PROMOTE CULTURALLY RESPONSIVE, FAMILY-CENTERED HOME VISITING AND PEDIATRIC SERVICE INTEGRATION",Termination for Cause,X,1
ACF,90YR0192,90YR019202,IOWA STATE UNIVERSITY OF SCIENCE & TECHNOLOGY,Iowa,UNITED STATES,12/08/2025,"$25,000.00","$8,793.73","$8,793.73","$16,206.27",A Statewide Mixed-Methods Study of Head Start Enrollment and Retention among Eligible Children,Departmental Authority,-,1
ACF,90ZU0456,90ZU045601,SOUTHWEST KEY PROGRAMS INC,TEXAS,UNITED STATES,07/18/2025,"$137,729,630.00","$137,729,630.00","$137,729,630.00",-,RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-LICENSED AND TEXAS-EXEMPT AND FLORIDA-DELICENSED ONLY,Termination for Cause,X,1
ACF,90ZU0456,90ZU045602,SOUTHWEST KEY PROGRAMS INC,TEXAS,UNITED STATES,07/18/2025,"$150,535,032.00","$142,368,942.10","$142,368,942.10","$8,166,089.90",RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-LICENSED AND TEXAS-EXEMPT AND FLORIDA-DELICENSED ONLY,Termination for Cause,X,1
ACF,90ZU0456,90ZU045603,SOUTHWEST KEY PROGRAMS INC,TEXAS,UNITED STATES,07/18/2025,"$67,500,000.00","$49,630,993.51","$49,630,993.51","$17,869,006.49",RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-LICENSED AND TEXAS-EXEMPT AND FLORIDA-DELICENSED ONLY,Termination for Cause,X,1
ACF,90ZU0464,90ZU046401,SOUTHWEST KEY PROGRAMS INC,TEXAS,UNITED STATES,07/18/2025,"$31,911,417.00","$31,911,417.00","$31,911,417.00",-,RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-LICENSED AND TEXAS-EXEMPT AND FLORIDA-DELICENSED ONLY,Termination for Cause,X,1
ACF,90ZU0464,90ZU046402,SOUTHWEST KEY PROGRAMS INC,TEXAS,UNITED STATES,07/18/2025,"$33,280,579.00","$30,959,721.65","$30,959,721.65","$2,320,857.35",RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-LICENSED AND TEXAS-EXEMPT AND FLORIDA-DELICENSED ONLY,Termination for Cause,X,1
ACF,90ZU0464,90ZU046403,SOUTHWEST KEY PROGRAMS INC,TEXAS,UNITED STATES,07/18/2025,"$8,652,982.00","$8,652,982.00","$8,652,982.00",-,RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-LICENSED AND TEXAS-EXEMPT AND FLORIDA-DELICENSED ONLY,Termination for Cause,X,1
ACF,90ZU0465,90ZU046501,SOUTHWEST KEY PROGRAMS INC,TEXAS,UNITED STATES,07/18/2025,"$145,560,152.00","$145,560,152.00","$145,560,152.00",-,RESIDENTIAL (SHELTER AND/OR TRANSITIONAL FOSTER CARE) SERVICES FOR UNACCOMPANIED CHILDREN-LICENSED AND TEXAS-EXEMPT AND FLORIDA-DELICENSED ONLY,Termination for Cause,X,2
